PassengerId,Pclass,Sex,Title,Family_size,Family_Survival,FareBin_Code,AgeBin_Code,Embarked_C,Embarked_None,Embarked_Q,Embarked_S,Survived
43,3,0,0,1,0.5,1,2,1,0,0,0,0.0
44,2,1,1,4,1.0,3,0,1,0,0,0,1.0
45,3,1,1,1,0.5,1,1,0,0,1,0,1.0
46,3,0,0,1,0.5,1,2,0,0,0,1,0.0
47,3,0,0,2,0.5,2,3,0,0,1,0,0.0
48,3,1,1,1,0.5,0,3,0,0,1,0,1.0
49,3,0,0,3,0.5,3,2,1,0,0,0,0.0
50,3,1,2,2,0.0,2,1,0,0,0,1,0.0
51,3,0,3,6,0.0,3,0,0,0,0,1,0.0
52,3,0,0,1,0.5,0,2,0,0,0,1,0.0
53,1,1,2,2,1.0,4,4,1,0,0,0,1.0
54,2,1,2,2,0.5,3,2,0,0,0,1,1.0
55,1,0,0,2,0.5,4,6,1,0,0,0,0.0
56,1,0,0,1,0.5,3,4,0,0,0,1,1.0
57,2,1,1,1,0.5,1,2,0,0,0,1,1.0
58,3,0,0,1,0.5,0,2,1,0,0,0,0.0
59,2,1,1,4,1.0,3,0,0,0,0,1,1.0
60,3,0,3,8,0.0,4,1,0,0,0,1,0.0
61,3,0,0,1,0.5,0,2,1,0,0,0,0.0
62,1,1,1,1,1.0,4,3,0,1,0,0,1.0
63,1,0,0,2,1.0,4,4,0,0,0,1,0.0
64,3,0,3,6,0.0,3,0,0,0,0,1,0.0
65,1,0,0,1,0.5,3,3,1,0,0,0,0.0
66,3,0,3,3,1.0,2,0,1,0,0,0,1.0
67,2,1,2,1,0.5,1,2,0,0,0,1,1.0
68,3,0,0,1,0.5,1,1,0,0,0,1,0.0
69,3,1,1,7,0.5,1,1,0,0,0,1,1.0
70,3,0,0,3,0.5,1,2,0,0,0,1,0.0
71,2,0,0,1,0.5,1,3,0,0,0,1,0.0
72,3,1,1,8,0.0,4,1,0,0,0,1,0.0
73,2,0,0,1,0.0,4,2,0,0,0,1,0.0
74,3,0,0,2,0.5,2,2,1,0,0,0,0.0
75,3,0,0,1,1.0,4,3,0,0,0,1,1.0
76,3,0,0,1,0.5,0,2,0,0,0,1,0.0
77,3,0,0,1,0.5,1,2,0,0,0,1,0.0
78,3,0,0,1,0.5,1,2,0,0,0,1,0.0
79,2,0,3,3,1.0,3,0,0,0,0,1,1.0
80,3,1,1,1,1.0,2,2,0,0,0,1,1.0
81,3,0,0,1,0.5,1,2,0,0,0,1,0.0
82,3,0,0,1,0.5,1,2,0,0,0,1,1.0
83,3,1,1,1,0.5,0,2,0,0,1,0,1.0
84,1,0,0,1,0.5,4,2,0,0,0,1,0.0
85,2,1,1,1,0.5,1,1,0,0,0,1,1.0
86,3,1,2,4,0.0,2,3,0,0,0,1,1.0
87,3,0,0,5,0.0,3,1,0,0,0,1,0.0
88,3,0,0,1,0.5,1,2,0,0,0,1,0.0
89,1,1,1,6,1.0,4,2,0,0,0,1,1.0
90,3,0,0,1,0.5,1,2,0,0,0,1,0.0
91,3,0,0,1,0.5,1,2,0,0,0,1,0.0
92,3,0,0,1,0.5,0,1,0,0,0,1,0.0
93,1,0,0,2,0.5,4,4,0,0,0,1,0.0
94,3,0,0,4,1.0,2,2,0,0,0,1,0.0
95,3,0,0,1,0.5,0,5,0,0,0,1,0.0
96,3,0,0,1,0.5,1,2,0,0,0,1,0.0
97,1,0,0,1,0.5,3,7,1,0,0,0,0.0
98,1,0,0,2,0.5,4,2,1,0,0,0,1.0
99,2,1,2,2,1.0,3,3,0,0,0,1,1.0
100,2,0,0,2,1.0,3,3,0,0,0,1,0.0
101,3,1,1,1,0.5,1,2,0,0,0,1,0.0
102,3,0,0,1,0.0,1,2,0,0,0,1,0.0
103,1,0,0,2,0.0,4,2,0,0,0,1,0.0
104,3,0,0,1,0.5,1,3,0,0,0,1,0.0
105,3,0,0,3,0.0,1,3,0,0,0,1,0.0
106,3,0,0,1,0.5,1,2,0,0,0,1,0.0
107,3,1,1,1,0.5,0,2,0,0,0,1,1.0
108,3,0,0,1,0.5,0,2,0,0,0,1,1.0
109,3,0,0,1,0.5,1,3,0,0,0,1,0.0
110,3,1,1,2,0.0,3,3,0,0,1,0,1.0
111,1,0,0,1,0.0,4,4,0,0,0,1,0.0
112,3,1,1,2,0.0,2,1,1,0,0,0,0.0
113,3,0,0,1,0.5,1,2,0,0,0,1,0.0
114,3,1,1,2,0.0,1,1,0,0,0,1,0.0
115,3,1,1,1,0.0,2,1,1,0,0,0,0.0
116,3,0,0,1,0.5,1,2,0,0,0,1,0.0
117,3,0,0,1,0.5,0,7,0,0,1,0,0.0
118,2,0,0,2,0.0,2,2,0,0,0,1,0.0
119,1,0,0,2,1.0,4,2,1,0,0,0,0.0
120,3,1,1,7,0.0,3,0,0,0,0,1,0.0
121,2,0,0,3,0.0,4,2,0,0,0,1,0.0
122,3,0,0,1,0.5,1,2,0,0,0,1,0.0
123,2,0,0,2,1.0,3,3,1,0,0,0,0.0
124,2,1,1,1,0.5,2,3,0,0,0,1,1.0
125,1,0,0,2,0.0,4,5,0,0,0,1,0.0
126,3,0,3,2,1.0,2,1,1,0,0,0,1.0
127,3,0,0,1,0.5,0,3,0,0,1,0,0.0
128,3,0,0,1,0.5,0,2,0,0,0,1,1.0
129,3,1,1,3,1.0,3,2,1,0,0,0,1.0
130,3,0,0,1,0.5,0,4,0,0,0,1,0.0
131,3,0,0,1,0.5,1,3,1,0,0,0,0.0
132,3,0,0,1,0.5,0,1,0,0,0,1,0.0
133,3,1,2,2,0.5,2,4,0,0,0,1,0.0
134,2,1,2,2,0.5,3,2,0,0,0,1,1.0
135,2,0,0,1,0.5,2,2,0,0,0,1,0.0
136,2,0,0,1,0.5,2,2,1,0,0,0,0.0
137,1,1,1,3,0.5,3,1,0,0,0,1,1.0
138,1,0,0,2,1.0,4,3,0,0,0,1,0.0
139,3,0,0,1,0.0,1,1,0,0,0,1,0.0
140,1,0,0,1,0.0,4,2,1,0,0,0,0.0
141,3,1,2,3,0.0,2,2,1,0,0,0,0.0
142,3,1,1,1,0.5,0,2,0,0,0,1,1.0
143,3,1,2,2,0.0,2,2,0,0,0,1,1.0
144,3,0,0,1,0.5,0,1,0,0,1,0,0.0
145,2,0,0,1,0.5,2,1,0,0,0,1,0.0
146,2,0,0,3,1.0,3,1,0,0,0,1,0.0
147,3,0,0,1,0.5,0,2,0,0,0,1,1.0
148,3,1,1,5,0.0,3,0,0,0,0,1,0.0
149,2,0,0,3,1.0,3,3,0,0,0,1,0.0
150,2,0,4,1,0.5,2,4,0,0,0,1,0.0
151,2,0,4,1,0.5,2,5,0,0,0,1,0.0
152,1,1,2,2,0.0,4,2,0,0,0,1,1.0
153,3,0,0,1,0.5,1,5,0,0,0,1,0.0
154,3,0,0,3,0.5,2,4,0,0,0,1,0.0
155,3,0,0,1,0.5,0,2,0,0,0,1,0.0
156,1,0,0,2,0.5,4,5,1,0,0,0,0.0
157,3,1,1,1,0.5,0,1,0,0,1,0,1.0
158,3,0,0,1,0.5,1,2,0,0,0,1,0.0
159,3,0,0,1,0.5,1,2,0,0,0,1,0.0
160,3,0,3,11,0.0,4,1,0,0,0,1,0.0
161,3,0,0,2,0.5,2,4,0,0,0,1,0.0
162,2,1,2,1,0.5,2,3,0,0,0,1,1.0
163,3,0,0,1,0.5,0,2,0,0,0,1,0.0
164,3,0,0,1,0.0,1,1,0,0,0,1,0.0
165,3,0,3,6,0.0,3,0,0,0,0,1,0.0
166,3,0,3,3,1.0,2,0,0,0,0,1,1.0
167,1,1,2,2,1.0,4,2,0,0,0,1,1.0
168,3,1,2,6,0.0,3,4,0,0,0,1,0.0
169,1,0,0,1,0.5,3,4,0,0,0,1,0.0
170,3,0,0,1,1.0,4,2,0,0,0,1,0.0
171,1,0,0,1,0.5,3,6,0,0,0,1,0.0
172,3,0,3,6,0.0,3,0,0,0,1,0,0.0
173,3,1,1,3,1.0,2,0,0,0,0,1,1.0
174,3,0,0,1,0.5,1,2,0,0,0,1,0.0
175,1,0,0,1,0.5,3,5,1,0,0,0,0.0
176,3,0,0,3,0.5,0,1,0,0,0,1,0.0
177,3,0,3,5,0.0,3,1,0,0,0,1,0.0
178,1,1,1,1,0.5,3,4,1,0,0,0,0.0
179,2,0,0,1,0.5,2,2,0,0,0,1,0.0
180,3,0,0,1,1.0,0,3,0,0,0,1,0.0
181,3,1,1,11,0.0,4,1,0,0,0,1,0.0
182,2,0,0,1,0.5,2,3,1,0,0,0,0.0
183,3,0,3,7,1.0,3,0,0,0,0,1,0.0
184,2,0,3,4,1.0,3,0,0,0,0,1,1.0
185,3,1,1,3,0.5,3,0,0,0,0,1,1.0
186,1,0,0,1,0.5,4,5,0,0,0,1,0.0
187,3,1,2,2,0.0,2,3,0,0,1,0,1.0
188,1,0,0,1,0.5,3,4,0,0,0,1,1.0
189,3,0,0,3,0.0,2,3,0,0,1,0,0.0
190,3,0,0,1,0.5,1,3,0,0,0,1,0.0
191,2,1,2,1,0.5,2,3,0,0,0,1,1.0
192,2,0,0,1,0.5,2,1,0,0,0,1,0.0
193,3,1,1,2,0.5,0,1,0,0,0,1,1.0
194,2,0,3,3,1.0,3,0,0,0,0,1,1.0
195,1,1,2,1,0.5,3,4,1,0,0,0,1.0
196,1,1,1,1,1.0,4,5,1,0,0,0,1.0
197,3,0,0,1,0.5,0,3,0,0,1,0,0.0
198,3,0,0,2,0.5,1,4,0,0,0,1,0.0
199,3,1,1,1,0.5,0,3,0,0,1,0,1.0
200,2,1,1,1,0.5,2,2,0,0,0,1,0.0
201,3,0,0,1,0.5,1,2,0,0,0,1,0.0
202,3,0,0,11,0.0,4,1,0,0,0,1,0.0
203,3,0,0,1,0.5,0,3,0,0,0,1,0.0
204,3,0,0,1,0.5,0,4,1,0,0,0,0.0
205,3,0,0,1,0.5,1,1,0,0,0,1,1.0
206,3,1,1,2,0.0,1,0,0,0,0,1,0.0
207,3,0,0,2,1.0,2,3,0,0,0,1,0.0
208,3,0,0,1,0.0,2,2,1,0,0,0,1.0
209,3,1,1,1,0.5,0,1,0,0,1,0,1.0
210,1,0,0,1,0.5,3,3,1,0,0,0,1.0
211,3,0,0,1,0.0,0,2,0,0,0,1,0.0
212,2,1,1,1,0.5,2,3,0,0,0,1,1.0
213,3,0,0,1,0.5,0,2,0,0,0,1,0.0
214,2,0,0,1,0.5,2,2,0,0,0,1,0.0
215,3,0,0,2,0.5,0,3,0,0,1,0,0.0
216,1,1,1,2,1.0,4,3,1,0,0,0,1.0
217,3,1,1,1,0.5,1,2,0,0,0,1,1.0
218,2,0,0,2,1.0,3,4,0,0,0,1,0.0
219,1,1,1,1,0.5,4,3,1,0,0,0,1.0
220,2,0,0,1,1.0,1,2,0,0,0,1,0.0
221,3,0,0,1,0.5,1,1,0,0,0,1,1.0
222,2,0,0,1,0.5,2,2,0,0,0,1,0.0
223,3,0,0,1,0.5,1,5,0,0,0,1,0.0
224,3,0,0,1,0.5,1,2,0,0,0,1,0.0
225,1,0,0,2,1.0,4,3,0,0,0,1,1.0
226,3,0,0,1,0.5,1,2,0,0,0,1,0.0
227,2,0,0,1,0.5,1,1,0,0,0,1,1.0
228,3,0,0,1,0.5,0,2,0,0,0,1,0.0
229,2,0,0,1,0.5,2,1,0,0,0,1,0.0
230,3,1,1,5,0.0,3,1,0,0,0,1,0.0
231,1,1,2,2,0.0,4,3,0,0,0,1,1.0
232,3,0,0,1,0.5,0,2,0,0,0,1,0.0
233,2,0,0,1,0.5,2,5,0,0,0,1,0.0
234,3,1,1,7,1.0,3,0,0,0,0,1,1.0
235,2,0,0,1,0.5,1,2,0,0,0,1,0.0
236,3,1,1,1,0.5,0,2,0,0,0,1,0.0
237,2,0,0,2,0.5,3,4,0,0,0,1,0.0
238,2,1,1,3,1.0,3,0,0,0,0,1,1.0
239,2,0,0,1,0.5,1,1,0,0,0,1,0.0
240,2,0,0,1,0.5,2,3,0,0,0,1,0.0
241,3,1,1,2,0.0,2,2,1,0,0,0,0.0
242,3,1,1,2,1.0,2,3,0,0,1,0,1.0
243,2,0,0,1,0.5,1,2,0,0,0,1,0.0
244,3,0,0,1,0.5,0,2,0,0,0,1,0.0
245,3,0,0,1,0.5,0,2,1,0,0,0,0.0
246,1,0,4,3,1.0,4,4,0,0,1,0,0.0
247,3,1,1,1,0.5,0,2,0,0,0,1,0.0
248,2,1,2,3,1.0,2,2,0,0,0,1,1.0
249,1,0,0,3,1.0,4,3,0,0,0,1,1.0
250,2,0,4,2,0.0,3,5,0,0,0,1,0.0
251,3,0,0,1,0.5,0,3,0,0,0,1,0.0
252,3,1,2,3,0.0,1,2,0,0,0,1,0.0
253,1,0,0,1,0.5,3,6,0,0,0,1,0.0
254,3,0,0,2,0.0,2,2,0,0,0,1,0.0
255,3,1,2,3,0.0,2,4,0,0,0,1,0.0
256,3,1,2,3,0.5,2,2,1,0,0,0,1.0
257,1,1,2,1,0.5,4,3,1,0,0,0,1.0
258,1,1,1,1,1.0,4,2,0,0,0,1,1.0
259,1,1,1,1,1.0,4,3,1,0,0,0,1.0
260,2,1,2,2,1.0,3,4,0,0,0,1,1.0
261,3,0,0,1,0.5,0,3,0,0,1,0,0.0
262,3,0,3,7,1.0,3,0,0,0,0,1,1.0
263,1,0,0,3,1.0,4,5,0,0,0,1,0.0
264,1,0,0,1,0.5,0,3,0,0,0,1,0.0
265,3,1,1,1,0.5,0,3,0,0,1,0,0.0
266,2,0,0,1,0.5,1,3,0,0,0,1,0.0
267,3,0,0,6,0.0,3,1,0,0,0,1,0.0
268,3,0,0,2,0.5,0,2,0,0,0,1,1.0
269,1,1,2,2,1.0,4,5,0,0,0,1,1.0
270,1,1,1,1,1.0,4,3,0,0,0,1,1.0
271,1,0,0,1,1.0,3,3,0,0,0,1,0.0
272,3,0,0,1,0.0,0,2,0,0,0,1,1.0
273,2,1,2,2,1.0,2,4,0,0,0,1,1.0
274,1,0,0,2,0.5,3,3,1,0,0,0,0.0
275,3,1,1,1,0.5,0,3,0,0,1,0,1.0
276,1,1,1,2,1.0,4,6,0,0,0,1,1.0
277,3,1,1,1,0.5,0,4,0,0,0,1,0.0
278,2,0,0,1,0.0,0,4,0,0,0,1,0.0
279,3,0,3,6,0.0,3,0,0,0,1,0,0.0
280,3,1,2,3,0.0,2,3,0,0,0,1,1.0
281,3,0,0,1,0.5,0,6,0,0,1,0,0.0
282,3,0,0,1,0.0,0,2,0,0,0,1,0.0
283,3,0,0,1,0.5,1,1,0,0,0,1,0.0
284,3,0,0,1,0.5,1,1,0,0,0,1,1.0
285,1,0,0,1,0.5,3,4,0,0,0,1,0.0
286,3,0,0,1,0.5,1,3,1,0,0,0,0.0
287,3,0,0,1,0.5,1,2,0,0,0,1,1.0
288,3,0,0,1,0.5,1,2,0,0,0,1,0.0
289,2,0,0,1,0.5,2,4,0,0,0,1,1.0
290,3,1,1,1,0.5,0,2,0,0,1,0,1.0
291,1,1,1,1,0.0,4,2,0,0,0,1,1.0
292,1,1,2,2,1.0,4,1,1,0,0,0,1.0
293,2,0,0,1,0.5,2,3,1,0,0,0,0.0
294,3,1,1,1,0.5,1,2,0,0,0,1,0.0
295,3,0,0,1,0.5,1,2,0,0,0,1,0.0
296,1,0,0,1,0.5,3,3,1,0,0,0,0.0
297,3,0,0,1,0.5,0,2,1,0,0,0,0.0
298,1,1,1,4,1.0,4,0,0,0,0,1,0.0
299,1,0,0,1,0.5,3,4,0,0,0,1,1.0
300,1,1,2,2,0.0,4,4,1,0,0,0,1.0
301,3,1,1,1,1.0,0,3,0,0,1,0,1.0
302,3,0,0,3,1.0,3,2,0,0,1,0,1.0
303,3,0,0,1,1.0,0,1,0,0,0,1,0.0
304,2,1,1,1,0.5,2,4,0,0,1,0,1.0
305,3,0,0,1,0.5,1,2,0,0,0,1,0.0
306,1,0,3,4,1.0,4,0,0,0,0,1,1.0
307,1,1,1,1,1.0,4,3,1,0,0,0,1.0
308,1,1,2,2,0.0,4,1,1,0,0,0,1.0
309,2,0,0,2,1.0,3,2,1,0,0,0,0.0
310,1,1,1,1,1.0,4,2,1,0,0,0,1.0
311,1,1,1,1,1.0,4,2,1,0,0,0,1.0
312,1,1,1,5,1.0,4,1,1,0,0,0,1.0
313,2,1,2,3,0.5,3,2,0,0,0,1,0.0
314,3,0,0,1,0.5,1,2,0,0,0,1,0.0
315,2,0,0,3,1.0,3,4,0,0,0,1,0.0
316,3,1,1,1,0.5,0,2,0,0,0,1,1.0
317,2,1,2,2,0.0,3,2,0,0,0,1,1.0
318,2,0,4,1,0.5,2,5,0,0,0,1,0.0
319,1,1,1,3,1.0,4,3,0,0,0,1,1.0
320,1,1,2,3,1.0,4,3,1,0,0,0,1.0
321,3,0,0,1,0.5,0,2,0,0,0,1,0.0
322,3,0,0,1,0.5,1,2,0,0,0,1,0.0
323,2,1,1,1,0.5,2,2,0,0,1,0,1.0
324,2,1,2,3,1.0,3,2,0,0,0,1,1.0
325,3,0,0,11,0.0,4,1,0,0,0,1,0.0
326,1,1,1,1,1.0,4,3,1,0,0,0,1.0
327,3,0,0,1,0.5,0,6,0,0,0,1,0.0
328,2,1,2,1,0.5,2,3,0,0,0,1,1.0
329,3,1,2,3,1.0,2,3,0,0,0,1,1.0
330,1,1,1,2,1.0,4,1,1,0,0,0,1.0
331,3,1,1,3,1.0,3,2,0,0,1,0,1.0
332,1,0,0,1,0.5,3,4,0,0,0,1,0.0
333,1,0,0,2,1.0,4,3,0,0,0,1,0.0
334,3,0,0,3,0.0,2,1,0,0,0,1,0.0
335,1,1,2,2,1.0,4,3,0,0,0,1,1.0
336,3,0,0,1,0.5,1,2,0,0,0,1,0.0
337,1,0,0,2,1.0,4,2,0,0,0,1,0.0
338,1,1,1,1,1.0,4,4,1,0,0,0,1.0
339,3,0,0,1,0.5,1,4,0,0,0,1,1.0
340,1,0,0,1,0.5,3,4,0,0,0,1,0.0
341,2,0,3,3,1.0,3,0,0,0,0,1,1.0
342,1,1,1,6,1.0,4,2,0,0,0,1,1.0
343,2,0,0,1,0.5,2,2,0,0,0,1,0.0
344,2,0,0,1,0.5,2,2,0,0,0,1,0.0
345,2,0,0,1,0.5,2,3,0,0,0,1,0.0
346,2,1,1,1,0.5,2,2,0,0,0,1,1.0
347,2,1,1,1,0.5,2,3,0,0,0,1,1.0
348,3,1,2,2,0.5,2,2,0,0,0,1,1.0
349,3,0,3,3,1.0,2,0,0,0,0,1,1.0
350,3,0,0,1,0.5,1,4,0,0,0,1,0.0
351,3,0,0,1,0.5,1,2,0,0,0,1,0.0
352,1,0,0,1,0.5,3,6,0,0,0,1,0.0
353,3,0,0,3,0.0,0,1,1,0,0,0,0.0
354,3,0,0,2,0.0,2,2,0,0,0,1,0.0
355,3,0,0,1,0.5,0,2,1,0,0,0,0.0
356,3,0,0,1,0.5,1,2,0,0,0,1,0.0
357,1,1,1,2,1.0,4,2,0,0,0,1,1.0
358,2,1,1,1,0.5,2,3,0,0,0,1,0.0
359,3,1,1,1,0.5,1,2,0,0,1,0,1.0
360,3,1,1,1,0.5,1,2,0,0,1,0,1.0
361,3,0,0,6,0.0,3,3,0,0,0,1,0.0
362,2,0,0,2,0.5,3,2,1,0,0,0,0.0
363,3,1,2,2,0.0,2,4,1,0,0,0,0.0
364,3,0,0,1,0.5,0,3,0,0,0,1,0.0
365,3,0,0,2,1.0,2,3,0,0,1,0,0.0
366,3,0,0,1,0.5,0,2,0,0,0,1,0.0
367,1,1,2,2,0.5,4,5,1,0,0,0,1.0
368,3,1,2,1,0.5,0,2,1,0,0,0,1.0
369,3,1,1,1,0.5,0,3,0,0,1,0,1.0
370,1,1,1,1,1.0,4,2,1,0,0,0,1.0
371,1,0,0,2,0.5,4,2,1,0,0,0,1.0
372,3,0,0,2,0.5,0,1,0,0,0,1,0.0
373,3,0,0,1,0.5,1,1,0,0,0,1,0.0
374,1,0,0,1,1.0,4,2,1,0,0,0,0.0
375,3,1,1,5,0.0,2,0,0,0,0,1,0.0
376,1,1,2,2,0.0,4,2,1,0,0,0,1.0
377,3,1,1,1,0.5,0,2,0,0,0,1,1.0
378,1,0,0,3,0.5,4,2,1,0,0,0,0.0
379,3,0,0,1,0.5,0,1,1,0,0,0,0.0
380,3,0,0,1,0.5,0,1,0,0,0,1,0.0
381,1,1,1,1,1.0,4,4,1,0,0,0,1.0
382,3,1,1,3,1.0,2,0,1,0,0,0,1.0
383,3,0,0,1,0.5,1,3,0,0,0,1,0.0
384,1,1,2,2,0.0,4,3,0,0,0,1,1.0
385,3,0,0,1,0.5,1,2,0,0,0,1,0.0
386,2,0,0,1,0.0,4,1,0,0,0,1,0.0
387,3,0,3,8,0.0,4,0,0,0,0,1,0.0
388,2,1,1,1,0.5,2,3,0,0,0,1,1.0
389,3,0,0,1,0.5,0,2,0,0,1,0,0.0
390,2,1,1,1,0.5,2,1,1,0,0,0,1.0
391,1,0,0,4,1.0,4,3,0,0,0,1,1.0
392,3,0,0,1,0.5,0,2,0,0,0,1,1.0
393,3,0,0,3,0.0,1,2,0,0,0,1,0.0
394,1,1,1,2,1.0,4,2,1,0,0,0,1.0
395,3,1,2,3,1.0,2,2,0,0,0,1,1.0
396,3,0,0,1,0.5,0,2,0,0,0,1,0.0
397,3,1,1,1,0.0,0,3,0,0,0,1,0.0
398,2,0,0,1,0.0,3,4,0,0,0,1,0.0
399,2,0,4,1,0.5,1,2,0,0,0,1,0.0
400,2,1,2,1,0.5,2,2,0,0,0,1,1.0
401,3,0,0,1,0.5,1,3,0,0,0,1,1.0
402,3,0,0,1,0.5,1,2,0,0,0,1,0.0
403,3,1,1,2,0.0,1,2,0,0,0,1,0.0
404,3,0,0,2,1.0,2,2,0,0,0,1,0.0
405,3,1,1,1,0.0,1,1,0,0,0,1,0.0
406,2,0,0,2,0.5,2,3,0,0,0,1,0.0
407,3,0,0,1,0.5,0,5,0,0,0,1,0.0
408,2,0,3,3,1.0,2,0,0,0,0,1,1.0
409,3,0,0,1,0.5,0,2,0,0,0,1,0.0
410,3,1,1,5,0.0,3,1,0,0,0,1,0.0
411,3,0,0,1,0.5,1,2,0,0,0,1,0.0
412,3,0,0,1,0.5,0,2,0,0,1,0,0.0
413,1,1,1,2,0.0,4,3,0,0,1,0,1.0
414,2,0,0,1,0.0,0,4,0,0,0,1,0.0
415,3,0,0,1,0.5,1,4,0,0,0,1,1.0
416,3,1,2,1,0.5,1,2,0,0,0,1,0.0
417,2,1,2,3,0.5,3,3,0,0,0,1,1.0
418,2,1,1,3,0.5,2,1,0,0,0,1,1.0
419,2,0,0,1,0.5,2,2,0,0,0,1,0.0
420,3,1,1,3,0.0,3,0,0,0,0,1,0.0
421,3,0,0,1,0.5,1,2,1,0,0,0,0.0
422,3,0,0,1,0.5,0,2,0,0,1,0,0.0
423,3,0,0,1,0.5,1,2,0,0,0,1,0.0
424,3,1,2,3,0.0,2,2,0,0,0,1,0.0
425,3,0,0,3,0.0,2,1,0,0,0,1,0.0
426,3,0,0,1,0.5,0,3,0,0,0,1,0.0
427,2,1,2,2,0.5,3,2,0,0,0,1,1.0
428,2,1,1,1,0.0,3,1,0,0,0,1,1.0
429,3,0,0,1,0.5,0,3,0,0,1,0,0.0
430,3,0,0,1,0.5,1,3,0,0,0,1,1.0
431,1,0,0,1,0.5,3,2,0,0,0,1,1.0
432,3,1,2,2,0.0,2,2,0,0,0,1,1.0
433,2,1,2,2,0.5,3,4,0,0,0,1,1.0
434,3,0,0,1,0.5,0,1,0,0,0,1,0.0
435,1,0,0,2,1.0,4,4,0,0,0,1,0.0
436,1,1,1,4,1.0,4,1,0,0,0,1,1.0
437,3,1,1,5,0.0,3,2,0,0,0,1,0.0
438,2,1,2,6,1.0,2,2,0,0,0,1,1.0
439,1,0,0,6,1.0,4,6,0,0,0,1,0.0
440,2,0,0,1,0.5,1,3,0,0,0,1,0.0
441,2,1,2,3,1.0,3,4,0,0,0,1,1.0
442,3,0,0,1,0.5,1,1,0,0,0,1,0.0
443,3,0,0,2,0.5,0,2,0,0,0,1,0.0
444,2,1,1,1,0.5,2,2,0,0,0,1,1.0
445,3,0,0,1,0.5,1,2,0,0,0,1,1.0
446,1,0,3,3,0.5,4,0,0,0,0,1,1.0
447,2,1,1,2,1.0,2,1,0,0,0,1,1.0
448,1,0,0,1,0.5,3,3,0,0,0,1,1.0
449,3,1,1,4,1.0,2,0,1,0,0,0,1.0
450,1,0,0,1,0.5,3,5,0,0,0,1,1.0
451,2,0,0,4,1.0,3,3,0,0,0,1,0.0
452,3,0,0,2,0.0,2,2,0,0,0,1,0.0
453,1,0,0,1,0.5,3,2,1,0,0,0,0.0
454,1,0,0,2,1.0,4,4,1,0,0,0,1.0
455,3,0,0,1,0.5,1,2,0,0,0,1,0.0
456,3,0,0,1,0.5,1,2,1,0,0,0,1.0
457,1,0,0,1,0.5,3,6,0,0,0,1,0.0
458,1,1,2,2,0.5,4,4,0,0,0,1,1.0
459,2,1,1,1,0.5,1,4,0,0,0,1,1.0
460,3,0,0,1,0.5,0,3,0,0,1,0,0.0
461,1,0,0,1,0.5,3,4,0,0,0,1,1.0
